Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet,Fixed WiMax Internet
4.0,4.0,918 m²,276 m²,2.0,11 September 2020,109108159,,5550000.0,"12 Alexandra Road, Wynberg Upper, Cape Town",House,1.0,1.0,,,,,,,,,,
5.0,6.0,603 m²,440 m²,2.0,11 September 2020,109108152,,10495000.0,"21 Eton Way, Silvertree Estate, Cape Town",House,,,2.0,,,,,,,,,
4.5,5.0,,355 m²,,21 September 2020,109142619,,55000000.0,"30 Victoria Road, Clifton, Cape Town",Apartment / Flat,,1.0,4.0,,,,,,,,,
4.0,4.0,1 085 m²,,2.0,16 September 2020,109126902,,4950000.0,"4 Gild Lane, Tokai, Cape Town",House,,,,2.0,,,,,,,,
5.0,7.0,2 032 m²,600 m²,3.0,21 September 2020,109144431,,11500000.0,"32 Duckitt Avenue, Constantia, Cape Town",House,,,,5.0,,,,,,,,
1.0,1.0,,71 m²,,17 September 2020,109132414,,3299000.0,"253 Ocean View Drive, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
8.5,8.0,1 034 m²,,4.0,11 February 2020,108430362,,65000000.0,"31 Theresa Avenue, Camps Bay, Cape Town",House,,,,4.0,,,,,,,,
2.0,4.0,894 m²,175 m²,2.0,21 September 2020,109144752,1.0,4850000.0,"70 Rhodes Avenue, Newlands, Cape Town",House,1.0,,,,,,,,,,,
1.5,3.0,,97 m²,1.0,22 September 2020,109146650,,1850000.0,"1 Shannon Mews, 24 Liesbeek Road, Rosebank, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
4.5,5.0,2 743 m²,,2.0,17 September 2020,109128861,1.0,11950000.0,"119 Rathfelder Avenue, Constantia, Cape Town",House,1.0,1.0,,,,,,,,,,
2.0,3.0,716 m²,150 m²,1.0,17 September 2020,109133849,1.0,3250000.0,"5 Owen Drive, Meadowridge, Cape Town",House,1.0,,,1.0,,,,,,,,
1.0,1.0,95 m²,62 m²,,17 September 2020,108356738,,1730000.0,"Melrose Village, 8 Melrose Rd, Muizenberg, Cape Town",Apartment / Flat,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,
2.0,3.0,,226 m²,1.0,22 September 2020,109149322,,10990000.0,"191 Beach Road, Sea Point, Sea Point, Cape Town",Apartment / Flat,1.0,,,,1.0,,,,,,,
1.5,1.0,,106 m²,1.0,23 September 2020,109153425,,2290000.0,"8 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
2.0,2.0,126 m²,2203 m²,1.0,23 September 2020,109152267,,5495000.0,"2 Gorleston Road, Fresnaye, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,68 m²,,21 September 2020,109142724,1.0,1700000.0,"267 Victoria Road, Salt River, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,159 m²,,22 September 2020,109148523,1.0,19995000.0,"Parergon, Dock Road, Waterfront, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,,
1.5,2.0,,101 m²,1.0,17 September 2020,109130955,,4295000.0,"14 Milton Road, Sea Point, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
3.5,4.0,267 m²,400 m²,,20 September 2020,109139855,1.0,7950000.0,"9 Herbert Road, Sea Point, Cape Town",House,1.0,1.0,,,,,,,,,,
2.0,2.0,,100 m²,4.0,06 September 2020,109070929,,3650000.0,"10 Hospital Road, De Waterkant, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,73 m²,,22 September 2020,109149972,,2595000.0,"21 Aandbloem Street, Vredehoek, Cape Town",Apartment / Flat,,,,2.0,,,,,,,,
