Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet,Fixed WiMax Internet
2.0,3.0,,123 m²,1.0,30 June 2020,108815717,,1930000.0,"Wynberg Upper, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,,
1.0,2.0,,73 m²,,13 July 2020,108863540,1.0,1750000.0,"Woodstock, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
2.0,3.0,603 m²,,2.0,15 July 2020,108872784,,2049000.0,"Thornton, Cape Town",House,1.0,,,2.0,,,,1.0,,,,
2.0,3.0,111 m²,140 m²,1.0,21 July 2020,108893252,1.0,2295000.0,"3a Adelaide Road, Plumstead, Cape Town",Townhouse,1.0,,,,,,,,,,,
1.0,1.0,,64 m²,,02 July 2020,108823674,,3450000.0,"Green Point, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
1.0,0.5,,38 m²,1.0,06 June 2020,108714970,1.0,1950000.0,"252 Roggebaai, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
2.5,4.0,,290 m²,,01 July 2020,108818397,,7500000.0,"Sea Point, Cape Town",Apartment / Flat,,,,3.0,,,,,,,,
2.0,2.0,,95 m²,,15 April 2020,108624509,,3995000.0,"1 Dockrail Street, Foreshore, Cape Town",Apartment / Flat,,1.0,,2.0,,,,1.0,,,,
2.0,3.0,221 m²,140 m²,2.0,29 June 2020,108811219,1.0,2250000.0,"10 East Lake Way, Marina Da Gama, Cape Town",Townhouse,1.0,,,,,,,,,,,
1.0,2.0,225 m²,,,05 August 2020,108954007,,1995000.0,"Kenilworth, Cape Town",House,,,,2.0,,,,,,,,
2.0,3.0,,122 m²,1.0,31 July 2020,108936838,,3200000.0,"Newlands, Cape Town",House,,,,,,,,,,,,
1.0,2.0,1 146 m²,82 m²,,26 June 2020,108806766,,2500000.0,"Claremont Upper, Cape Town",Apartment / Flat,,,,2.0,,,,,,,,
1.0,1.0,,30 m²,,24 July 2020,108909458,,749000.0,"Plumstead, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
2.5,2.0,,178 m²,,10 July 2020,108858721,,16500000.0,"Bantry Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,2.0,248 m²,,1.0,12 August 2020,108976182,,1395000.0,"38 Clifton Road, Muizenberg, Cape Town",House,,,,,,,,,,,,
2.0,3.0,,123 m²,1.0,30 June 2020,108815717,,1930000.0,"Wynberg Upper, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,,
1.0,2.0,,73 m²,,13 July 2020,108863540,1.0,1750000.0,"Woodstock, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
3.0,4.0,598 m²,209 m²,,26 June 2020,108804544,,2985000.0,"Kirstenhof, Cape Town",House,1.0,,6.0,,,,,,,,,
2.0,3.0,603 m²,,2.0,15 July 2020,108872784,,2049000.0,"Thornton, Cape Town",House,1.0,,,2.0,,,,1.0,,,,
2.0,3.0,108 m²,91 m²,,26 June 2020,108806019,,1995000.0,"Kenilworth, Cape Town",House,,,,2.0,,,,,,,,
2.0,3.0,,111 m²,1.0,26 June 2020,108804183,1.0,2095000.0,"Plumstead, Cape Town",Townhouse,1.0,,,,,,,,,,,
4.0,4.0,517 m²,460 m²,2.0,13 July 2020,108863188,,34500000.0,"Camps Bay, Cape Town",Apartment / Flat,,1.0,,2.0,1.0,,,,,,,
3.0,9.0,488 m²,198 m²,2.0,20 July 2020,108888178,,1695000.0,"Grassy Park, Cape Town",House,,,,,,,,,,,,
1.0,1.0,87 m²,57 m²,,04 August 2020,108944294,1.0,2995000.0,"Green Point, Cape Town",Apartment / Flat,1.0,,,1.0,,,,1.0,,,,
1.0,2.0,259 m²,101 m²,,26 June 2020,108805042,,2799000.0,"Claremont, Cape Town",House,,,,2.0,,,,,,,,
1.0,2.0,89 m²,89 m²,,25 June 2020,108802314,,1695000.0,"Kenilworth, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,57 m²,,19 July 2020,108886777,,3000000.0,"Foreshore, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
1.0,2.0,178 m²,116 m²,1.0,26 June 2020,108805979,,2790000.0,"Wynberg Upper, Cape Town",House,,,,,,,,,,,,
1.0,1.0,,39 m²,,09 January 2020,108303779,,3975000.0,"Clifton, Cape Town",Apartment / Flat,,,,,1.0,1.0,,,,,,
1.0,2.0,,,,10 September 2020,109102035,,700000.0,"Belhar, Cape Town",House,,,,1.0,,,,,,,,
4.0,4.0,650 m²,461 m²,2.0,22 June 2020,108787330,1.0,13995000.0,"13 Brommaert Avenue, Constantia, Cape Town",House,1.0,1.0,,,,,,1.0,,,,
2.0,3.0,949 m²,155 m²,3.0,28 January 2020,108372368,,3650000.0,"8 Oranje Street, Kirstenhof, Cape Town",House,,,,4.0,,,,,,,,
1.0,1.0,57 m²,57 m²,,31 May 2019,107553591,,2750000.0,"1 Dockrail Road, Foreshore, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,
1.0,2.0,,93 m²,,16 April 2020,108626202,,2295000.0,"9 Rouwkoop Avenue, Rondebosch, Cape Town",Apartment / Flat,,,,2.0,1.0,,,,,,,
1.0,3.0,217 m²,70 m²,,23 July 2020,108904731,1.0,1500000.0,"Marina Da Gama, Cape Town",House,1.0,,,2.0,,,,,,,,
2.0,2.0,848 m²,65 m²,,13 July 2020,108864659,,1495000.0,"Claremont, Cape Town",Apartment / Flat,,,,2.0,,,,,,,,
1.0,1.0,,56 m²,,04 August 2020,108947435,,2800000.0,"Mouille Point, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,0.5,,37 m²,1.0,11 August 2020,108970551,,1350000.0,"Green Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.5,2.0,64 m²,54 m²,,10 July 2020,108859395,,2400000.0,"Zonnebloem, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
2.5,2.0,,190 m²,,25 June 2020,108802167,1.0,9995000.0,"Mouille Point, Cape Town",Apartment / Flat,1.0,1.0,,2.0,,,,,,,,
1.0,1.0,,34 m²,,29 June 2020,108810087,,875000.0,"Mowbray, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,,
2.5,3.0,,128 m²,1.0,06 April 2020,107088476,,4195000.0,"10 C Upland Ave, Devils Peak Estate, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,0.5,,35 m²,,25 June 2020,108801601,,995000.0,"Rondebosch, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.5,2.0,,73 m²,1.0,25 June 2020,108799781,,1850000.0,"Vredehoek, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
2.0,2.0,,66 m²,,28 May 2020,108689230,,1995000.0,"Rondebosch, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,45 m²,45 m²,,12 June 2020,108736626,,2590000.0,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
2.0,4.0,490 m²,150 m²,,03 June 2020,108702439,,4950000.0,"Rosebank, Cape Town",House,1.0,1.0,,3.0,,,1.0,,,,,
2.5,2.0,,69 m²,,02 July 2020,108826301,,2180000.0,"Zonnebloem, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
1.0,0.5,41 m²,41 m²,,17 July 2020,108883774,,1650000.0,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,39 m²,,09 January 2020,108303779,,3975000.0,"Clifton, Cape Town",Apartment / Flat,,,,,1.0,1.0,,,,,,
1.0,2.0,178 m²,116 m²,1.0,26 June 2020,108805979,,2790000.0,"Wynberg Upper, Cape Town",House,,,,,,,,,,,,
4.5,4.0,,,,18 March 2020,108581258,,25200000.0,"35 Main Road, Green Point, Cape Town",Apartment / Flat,,,,3.0,,,,,,,,
2.0,2.0,,,2.0,17 June 2020,108771022,,2750000.0,"166 Ocean View Drive, Fresnaye, Cape Town",Apartment / Flat,1.0,,,,,,,1.0,,,,
1.0,1.0,,66 m²,1.0,26 June 2020,108805269,,2390000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
2.0,2.0,,133 m²,,27 January 2020,108367297,,4495000.0,"1 Cast Anchor Way, Foreshore, Cape Town",Apartment / Flat,,1.0,2.0,,,,,,,,,
3.5,3.0,,206 m²,,28 January 2020,108372863,,16850000.0,"32 Kloof Road, Camps Bay, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,
1.0,0.5,,36 m²,,19 June 2020,108778420,,1790000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
1.0,1.0,,56 m²,,04 August 2020,108947435,,2800000.0,"Mouille Point, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,2.0,65 m²,65 m²,,20 April 2020,108629879,,1295000.0,"6a De Waal Drive, Vredehoek, Cape Town",Apartment / Flat,,,,,,,,1.0,,,,
2.5,2.0,,190 m²,,25 June 2020,108802167,1.0,9995000.0,"Mouille Point, Cape Town",Apartment / Flat,1.0,1.0,,2.0,,,,,,,,
5.0,5.0,633 m²,,3.0,20 May 2020,107103820,,29995000.0,"44 Avenue Disandt, Fresnaye, Cape Town",House,1.0,1.0,2.0,,,,,,,,,
1.0,0.5,,35 m²,,25 June 2020,108801601,,995000.0,"Rondebosch, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
2.0,3.0,,114 m²,,25 June 2020,108790784,,1650000.0,"39 Royal Rd,, Muizenberg, Cape Town",Apartment / Flat,1.0,1.0,,1.0,1.0,,,1.0,,,,
2.0,2.0,,102 m²,1.0,10 July 2020,108856764,,2695000.0,"Sea Point, Cape Town",Apartment / Flat,1.0,,,1.0,,,,1.0,,,,
1.5,2.0,,73 m²,1.0,25 June 2020,108799781,,1850000.0,"Vredehoek, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
1.0,2.0,68 m²,65 m²,,09 July 2020,108854284,,2569000.0,"Zonnebloem, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
2.0,4.0,490 m²,150 m²,,03 June 2020,108702439,,4950000.0,"Rosebank, Cape Town",House,1.0,1.0,,3.0,,,1.0,,,,,
1.0,2.0,101 m²,91 m²,,30 June 2020,108815753,,3390000.0,"Sea Point, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,,
1.0,2.0,,,1.0,31 August 2020,109048526,,1295000.0,"Grassy Park, Cape Town",House,,,,1.0,,,,,,,,
1.0,1.0,,46 m²,,22 January 2020,108349838,,2950000.0,"145 Main Road, Green Point, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
2.0,2.0,,83 m²,,09 July 2020,108854757,,2150000.0,"Tokai, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
2.0,3.0,629 m²,166 m²,1.0,23 June 2020,108792506,,3500000.0,"Marina Da Gama, Cape Town",House,1.0,,,1.0,,,,,,,,
4.0,4.0,314 m²,,1.0,09 June 2020,108723580,,7995000.0,"7 Bennington Road, Tamboerskloof, Cape Town",House,1.0,1.0,,,,,1.0,,,,,
3.0,3.0,,,4.0,18 June 2020,108775777,1.0,6900000.0,"Constantia, Cape Town",House,,1.0,,,,,,,,,,
1.0,2.0,180 m²,,1.0,18 March 2020,108584134,,4450000.0,"12 Ivy Street, Gardens, Cape Town",House,1.0,,,,,,,,,,,
2.0,3.0,243 m²,,1.0,14 July 2020,108868661,,5900000.0,"Kenilworth Upper, Cape Town",House,1.0,,1.0,,,,,,,,,
2.0,2.0,152 m²,,,08 May 2020,108651344,,3250000.0,"75 Balfour Street, Woodstock, Cape Town",House,1.0,,,,,,,,,1.0,,
1.0,1.0,,77 m²,1.0,09 June 2020,108725074,,2195000.0,"34 Shortmarket Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
2.0,3.0,,124 m²,2.0,13 July 2020,108862051,,7495000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,3.0,560 m²,,,14 February 2020,108445040,,6450000.0,"Gardens, Cape Town",House,,,,,1.0,,,,,,,
1.0,0.5,,42 m²,,06 April 2020,108614976,1.0,1770000.0,"85 Albert Rd, Woodstock, Cape Town",Apartment / Flat,,1.0,,1.0,,1.0,,1.0,,,,
1.0,1.0,,46 m²,,07 August 2020,108963187,,845000.0,"Muizenberg, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,1.0,56 m²,56 m²,1.0,14 April 2020,108622991,,1850000.0,"59 Exner Avenue, Vredehoek, Cape Town",Apartment / Flat,,,,,,,,1.0,,,,
1.0,0.5,,40 m²,,24 June 2020,106842666,,1475000.0,"Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,,,27 August 2020,109035718,,1499995.0,"75 Harrington Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
2.0,2.0,,96 m²,,20 July 2020,108890324,,2495000.0,"Diep River, Cape Town",Apartment / Flat,1.0,,1.0,,,,,,,,,
6.0,6.0,1 345 m²,,7.0,03 July 2020,108831617,1.0,6500000.0,"Plumstead, Cape Town",House,,1.0,,3.0,,,1.0,,,,,
1.0,2.0,51 m²,46 m²,,08 July 2020,108849342,,2050000.0,"Zonnebloem, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
2.0,5.0,,,,28 August 2020,109042274,1.0,13000000.0,"Woodstock, Cape Town",House,,,,,,,,,,,,
1.0,2.0,,70 m²,,09 July 2020,108854565,,2180000.0,"Zonnebloem, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
2.5,3.0,,219 m²,2.0,02 September 2020,109059377,,4990000.0,"Kenilworth Upper, Cape Town",Townhouse,,1.0,,,1.0,,,,,,,
4.0,4.0,496 m²,450 m²,2.0,22 May 2020,107015927,1.0,16900000.0,"Tamboerskloof, Cape Town",House,,1.0,,,,,,,,,,
1.0,0.5,,44 m²,,09 June 2020,108724077,,2550000.0,"Green Point, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
1.0,3.0,,67 m²,,02 July 2020,108827316,,1299000.0,"7 Springfield Terrace, Zonnebloem, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,2.0,,82 m²,,22 June 2020,108787692,,2495000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,3.0,,,,21 July 2020,108896294,,1495000.0,"Heathfield, Cape Town",House,1.0,1.0,,2.0,,,,,,,,
3.0,3.0,650 m²,,2.0,15 July 2020,108873041,,2450000.0,"Marina Da Gama, Cape Town",House,,1.0,,1.0,,,,,,,,
2.0,4.0,8 293 m²,,3.0,29 June 2020,108812642,,15995000.0,"Constantia, Cape Town",House,1.0,1.0,6.0,,,,,,,,,
3.0,3.0,,,2.0,23 July 2020,108907079,,17385000.0,"Fresnaye, Cape Town",House,1.0,1.0,,,,,,,,,,
2.0,3.0,240 m²,,,23 July 2020,108904726,,1650000.0,"Wynberg, Cape Town",House,1.0,,,,,,,,,,,
2.0,2.0,,94 m²,1.0,17 July 2020,107452207,,2450000.0,"24 Queens Park Avenue, Woodstock, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,38 m²,,29 July 2020,108927075,,1350000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,99 m²,,20 July 2020,108889803,,4200000.0,"De Waterkant, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
3.0,4.0,226 m²,144 m²,1.0,27 June 2020,108807511,,2350000.0,"Plumstead, Cape Town",Townhouse,,,,1.0,,,,,,,,
1.5,2.0,,125 m²,,08 July 2020,108848776,,2550000.0,"Kenilworth Upper, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
,,,,,22 July 2020,108898743,,1199000.0,"Claremont, Cape Town",Apartment / Flat,,,,,,,,,,,,
6.5,7.0,3 380 m²,354 m²,,17 July 2020,108884273,1.0,7850000.0,"13 Schilpadvlei Road, Constantia, Cape Town",House,1.0,1.0,,10.0,,,1.0,,,,1.0,
4.0,4.0,,212 m²,1.0,12 March 2020,108561285,,15750000.0,"29 Beach Road, Mouille Point, Cape Town",Apartment / Flat,1.0,1.0,,,,,,,,,,
2.0,3.0,161 m²,,,13 July 2020,108864752,,1895000.0,"58 Devon Street, Woodstock, Cape Town",House,1.0,,,,,,,1.0,,,,
3.0,5.0,873 m²,,2.0,11 June 2020,108734585,,4375000.0,"Constantia, Cape Town",House,1.0,1.0,,,,,,,,,,
4.0,5.0,732 m²,,2.0,27 July 2020,108915226,,7995000.0,"Claremont Upper, Cape Town",House,,,,,,,,,,,,
1.0,3.0,240 m²,,1.0,10 August 2020,108968852,,795000.0,"Seawinds, Cape Town",House,1.0,,,3.0,,,,,,,,
,,3 742 m²,,,13 July 2020,108862591,,3000000.0,"Claremont Upper, Cape Town",Apartment / Flat,1.0,1.0,1.0,,,,,,,,,
1.0,1.0,,,,03 September 2020,109063112,,1500000.0,"Vredehoek, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,,,38 m²,,08 July 2020,108848151,,1050000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,
3.0,4.0,403 m²,,1.0,08 July 2020,108845732,1.0,4900000.0,"Claremont Upper, Cape Town",House,1.0,,2.0,,,,,,,,,
3.0,2.0,,108 m²,,26 August 2020,109035329,,8400000.0,"Fresnaye, Cape Town",Apartment / Flat,,,,2.0,1.0,,,,,,,
1.0,1.0,,64 m²,,24 June 2020,108796246,,1195000.0,"Wynberg Upper, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
4.0,4.0,1 365 m²,,2.0,23 July 2020,108904554,,5450000.0,"Constantia, Cape Town",House,1.0,,,2.0,,,,,,,,
1.5,1.0,74 m²,74 m²,1.0,01 April 2020,108609996,,3250000.0,"33 Davenport Road, Vredehoek, Cape Town",Apartment / Flat,,1.0,,1.0,,,,1.0,,,,
4.5,4.0,1 665 m²,,2.0,23 August 2019,107865250,,6495000.0,"21 Parish Road, Constantia, Cape Town",House,1.0,1.0,,,,,,,,,,
1.0,1.0,,47 m²,,02 July 2020,108822891,,1795000.0,"Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
2.5,4.0,3 283 m²,,2.0,15 July 2020,108875279,1.0,8995000.0,"Constantia, Cape Town",House,1.0,1.0,,8.0,,,,,,,,
2.0,2.0,,119 m²,,16 July 2020,108878103,,3499000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
1.0,1.0,2 000 m²,72 m²,,27 April 2020,108637031,,3150000.0,"45 Main Rd, Green Point, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,1.0,,,,
2.0,2.0,211 m²,,1.0,14 July 2017,105369199,,16000000.0,"25 Beta Road, Bakoven, Cape Town",House,1.0,,,,,,,,,,,
1.0,1.0,50 m²,50 m²,1.0,25 May 2020,108682120,,1395000.0,"1 Hans Strijdom Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,4.0,300 m²,,2.0,10 July 2020,108858816,,2250000.0,"Pelican Park, Cape Town",House,,,,1.0,,,,,,,,
1.0,3.0,162 m²,,,31 July 2020,108937263,1.0,350000.0,"Philippi East, Cape Town",House,,,,,,,,,,,,
1.0,0.5,,32 m²,,13 July 2020,108862349,,999000.0,"Zonnebloem, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
2.0,2.0,,,,27 July 2020,108917944,,2099000.0,"Observatory, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
8.0,6.0,574 m²,500 m²,4.0,22 June 2020,108785913,,5950000.0,"Muizenberg, Cape Town",House,,1.0,,,,,1.0,,,,,
1.0,1.0,,50 m²,,23 March 2020,108596619,,1795000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
2.0,2.5,,169 m²,1.0,31 March 2020,108608434,,2500000.0,"316 Main Road, Wynberg Upper, Cape Town",Apartment / Flat,,,,,,,,,,,,
4.5,4.0,1 665 m²,,2.0,18 March 2020,108581394,1.0,6495000.0,"21 Parish Road, Constantia, Cape Town",House,1.0,1.0,,6.0,,,,,,,,
3.0,2.0,,108 m²,,26 August 2020,109035329,,8400000.0,"Fresnaye, Cape Town",Apartment / Flat,,,,2.0,1.0,,,,,,,
1.0,1.0,,64 m²,,24 June 2020,108796246,,1195000.0,"Wynberg Upper, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
4.0,5.0,1 331 m²,,2.0,08 June 2020,108717035,,8400000.0,"2 Milner Road, Rondebosch, Cape Town",House,,1.0,6.0,,,,,,,,,
3.0,4.0,726 m²,,2.0,22 July 2020,108899878,,4995000.0,"Constantia, Cape Town",House,,1.0,,5.0,,,1.0,,,,,
5.0,7.0,541 m²,,2.0,21 July 2020,108896192,1.0,7495000.0,"Vredehoek, Cape Town",House,1.0,,,3.0,,,1.0,,,,,
2.5,2.0,,190 m²,,21 May 2020,108677048,1.0,9995000.0,"Mouille Point, Cape Town",Apartment / Flat,1.0,1.0,,2.0,,,,,,,,
2.0,2.0,,,1.0,07 July 2017,104258957,1.0,15995000.0,"25 Beta Road, Bakoven, Cape Town",House,,,,,,,,,,,,
1.0,1.0,,47 m²,,02 July 2020,108822891,,1795000.0,"Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
2.0,3.0,161 m²,,,13 July 2020,108864752,,1895000.0,"58 Devon Street, Woodstock, Cape Town",House,1.0,,,,,,,1.0,,,,
2.0,2.0,,119 m²,,16 July 2020,108878103,,3499000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
1.0,1.0,,84 m²,,01 July 2020,108821741,,2750000.0,"De Waterkant, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
6.0,6.0,543 m²,,1.0,09 July 2020,108854846,,7400000.0,"18 Belladonna Avenue, Vredehoek, Cape Town",House,,,,1.0,,,,,,,,
2.0,2.0,86 m²,86 m²,,27 January 2020,108369818,,2675000.0,"25 Wilderness Avenue, Claremont Upper, Cape Town",Apartment / Flat,1.0,1.0,2.0,,,,,,,,,
3.0,2.0,,100 m²,,22 June 2020,108785420,,2350000.0,"Sea Point, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,
3.0,5.0,2 019 m²,384 m²,2.0,04 November 2019,108129157,1.0,6650000.0,"21 Strawberry Lane, Belle Constantia, Cape Town",House,1.0,1.0,,13.0,,,1.0,,,,,
3.0,4.0,496 m²,256 m²,3.0,16 July 2020,108879875,,3600000.0,"Rondebosch East, Cape Town",House,,1.0,,,1.0,,,,,,,
6.0,6.0,4 006 m²,,2.0,01 June 2020,108695715,,31500000.0,"5a Spilhaus Avenue, Constantia, Cape Town",House,,1.0,2.0,,,,,,,,,
1.0,2.0,,,,14 August 2020,108988001,,430000.0,"Pelican Park, Cape Town",House,,,,,,,,,,,,
1.0,,,29 m²,1.0,02 July 2020,108824018,,995000.0,"Vredehoek, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
1.0,0.5,,41 m²,,23 June 2020,108792109,,1765000.0,"Green Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,2.0,,86 m²,,06 June 2020,108715300,1.0,1100000.0,"13a Station Rd, Maitland, Cape Town",Townhouse,,,,,,,,,,,,
2.0,2.0,,,1.0,22 July 2020,108901555,,3995000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,,
1.0,3.0,223 m²,,,26 May 2020,108684659,,2150000.0,"12 Milner, Observatory, Cape Town",House,,,,,,,,,,,,
2.0,3.0,299 m²,,1.0,30 May 2020,108694304,,3650000.0,"11 Perth Road, Observatory, Cape Town",House,1.0,,,,,,,1.0,,,,
1.0,1.0,,67 m²,1.0,06 April 2020,108614650,,2395000.0,"3 Upper Orange Street, Gardens, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
2.0,3.0,625 m²,,1.0,16 July 2020,108879555,,1795000.0,"Grassy Park, Cape Town",House,,,,1.0,,,,,,,,
3.5,3.0,,196 m²,,17 June 2020,108768665,,6695000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,2.0,1.0,1.0,,,,,,
4.0,4.0,406 m²,,,09 July 2020,108850863,,14950000.0,"Clifton, Cape Town",House,,,,,,,,,,,,
1.0,1.0,,71 m²,1.0,22 June 2020,108784826,1.0,2350000.0,"Oranjezicht, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,4.0,127 m²,185 m²,,03 April 2020,106095163,1.0,2740000.0,"17 Cavendish St, Woodstock, Cape Town",House,,,,1.0,,,,,,,,
2.0,2.0,,91 m²,1.0,04 November 2019,108128548,,2795000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,1.0,2 057 m²,45 m²,,05 December 2019,108248275,,1775000.0,"14 Adderley Street, 708 Cartwright's Corner, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
1.0,2.0,,62 m²,,17 July 2020,108883734,,1160000.0,"50 Flamingo Crescent, Flamingo Mews Development, Lansdowne, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
2.0,3.0,241 m²,,,06 July 2020,108838728,,2375000.0,"Claremont, Cape Town",House,1.0,,,,,,,,,,,
2.0,2.0,,112 m²,,20 January 2020,108342218,,2700000.0,"North Wharf Protea Hotel, 1 Lower Buitengracht, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.5,2.0,84 m²,,,11 August 2020,108971109,,4850000.0,"Camps Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,61 m²,1.0,26 June 2020,108803884,,2399000.0,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,96 m²,2.0,29 June 2020,108812062,1.0,5300000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,96 m²,,1.0,18 July 2020,108886328,,5300000.0,"Sea Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
1.0,0.5,,44 m²,,19 June 2020,108781363,1.0,1595000.0,"Tamboerskloof, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,,,16 September 2020,109126755,,1720000.0,"Rondebosch, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
2.0,2.0,,106 m²,,29 July 2019,107759432,,4950000.0,"Sea Point, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,
2.0,3.0,,111 m²,2.0,29 June 2020,108811181,1.0,6700000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,2.0,56 m²,,,18 August 2020,109002423,,579000.0,"Pelican Park, Cape Town",House,1.0,,,1.0,,,,,,,,
3.0,2.0,2 481 m²,328 m²,2.0,20 June 2020,106070063,1.0,10996000.0,"Fresnaye, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,92 m²,2.0,29 June 2020,108811184,,4900000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
2.0,3.0,389 m²,,4.0,23 July 2020,108903374,,1750000.0,"Ottery, Cape Town",House,1.0,,,,,,,,,,,
3.0,4.0,400 m²,69 m²,1.0,11 July 2020,108860280,,2390000.0,"Ottery, Cape Town",House,1.0,,,4.0,,,,,,,,
